task_number,pair_id,doc_id,variant,side,outcome,preferred_variant,argument_anchored_clause_ratio,cjk_char_count,cjk_chars_per_sentence,clause_head_count,clause_heads_per_sentence,content_token_count,content_tokens_per_clause_head,content_tokens_per_sentence,coordination_relations_per_sentence,distinct_content_lemmas_per_sentence,function_to_content_ratio,long_dependency_arc_ratio,long_nominal_modifier_ratio,max_clause_heads_in_sentence,max_dependency_distance,max_nominal_modifier_chain,mean_dependency_distance,mean_nominal_modifier_span,mean_tree_depth,sentence_count,subordinate_relations_per_sentence,token_count
6,refinement-v4-04,21129f35e0f1ae2b265bb287,original,A,revised_preferred,revised,0.6521739130434783,188,47.0,23,5.75,67,2.9130434782608696,16.75,0.5,14.5,0.7313432835820896,0.17647058823529413,0.18181818181818182,9,27,1,3.277310924369748,1.8181818181818181,2.6204379562043796,4,4.0,123
6,refinement-v4-04,21129f35e0f1ae2b265bb287,revised,B,revised_preferred,revised,0.7692307692307693,125,41.666666666666664,13,4.333333333333333,51,3.923076923076923,17.0,0.0,14.666666666666666,0.45098039215686275,0.19736842105263158,0.21428571428571427,6,29,2,3.4473684210526314,2.0,2.1739130434782608,3,2.6666666666666665,79
7,refinement-v4-09,a174fe26e705b96c18acb00e,original,B,tie_or_neither,,0.8,154,77.0,15,7.5,68,4.533333333333333,34.0,2.5,32.0,0.29411764705882354,0.23300970873786409,0.10714285714285714,8,54,2,4.203883495145631,2.142857142857143,3.2777777777777777,2,4.0,105
7,refinement-v4-09,a174fe26e705b96c18acb00e,revised,A,tie_or_neither,,0.75,138,69.0,12,6.0,62,5.166666666666667,31.0,3.5,29.0,0.25806451612903225,0.2087912087912088,0.08333333333333333,7,53,2,5.021978021978022,1.8333333333333333,2.7410714285714284,2,3.0,93
8,refinement-v4-06,398d56824414e91464ffc3d8,original,A,revised_preferred,revised,0.7333333333333333,137,22.833333333333332,15,2.5,53,3.533333333333333,8.833333333333334,1.1666666666666667,8.833333333333334,0.5471698113207547,0.2441860465116279,0.3333333333333333,5,13,2,3.244186046511628,2.7333333333333334,2.1574074074074074,6,2.3333333333333335,92
8,refinement-v4-06,398d56824414e91464ffc3d8,revised,B,revised_preferred,revised,0.75,121,30.25,16,4.0,50,3.125,12.5,2.0,12.0,0.42,0.21052631578947367,0.16666666666666666,6,25,2,3.013157894736842,2.1666666666666665,2.1847826086956523,4,2.75,80
9,refinement-v4-08,ee642b95d3e1e32aea9e8ccf,original,B,original_preferred,original,0.64,187,26.714285714285715,25,3.5714285714285716,75,3.0,10.714285714285714,0.2857142857142857,10.285714285714286,0.5066666666666667,0.15702479338842976,0.13043478260869565,11,19,2,2.8181818181818183,2.347826086956522,2.296551724137931,7,2.0,128
9,refinement-v4-08,ee642b95d3e1e32aea9e8ccf,revised,A,original_preferred,original,0.6521739130434783,160,32.0,23,4.6,65,2.8260869565217392,13.0,0.6,12.6,0.4461538461538462,0.13333333333333333,0.058823529411764705,10,20,2,2.8285714285714287,1.9411764705882353,2.3306451612903225,5,3.0,110
10,refinement-v4-01,ddb4214a54ff80efa0f5b210,original,B,original_preferred,original,0.46875,238,79.33333333333333,32,10.666666666666666,89,2.78125,29.666666666666668,6.0,24.666666666666668,0.7415730337078652,0.2484076433121019,0.19230769230769232,27,104,3,4.910828025477707,2.769230769230769,3.099476439790576,3,4.666666666666667,160
10,refinement-v4-01,ddb4214a54ff80efa0f5b210,revised,A,original_preferred,original,0.5757575757575758,195,65.0,33,11.0,82,2.484848484848485,27.333333333333332,6.0,25.666666666666668,0.5,0.2,0.2777777777777778,16,65,2,3.92,3.6666666666666665,2.8451612903225807,3,5.0,128
